"module name","license","repository"
"ajv@6.5.3","MIT","https://github.com/epoberezkin/ajv"
"cytoscape-dagre@2.2.1","MIT","https://github.com/cytoscape/cytoscape.js-dagre"
"cytoscape-popper@1.0.2","MIT","https://github.com/cytoscape/cytoscape.js-popper"
"cytoscape@3.2.16","MIT","https://github.com/cytoscape/cytoscape.js"
"dagre@0.7.4","MIT","https://github.com/cpettitt/dagre"
"dagre@0.8.2","MIT","https://github.com/dagrejs/dagre"
"fast-deep-equal@2.0.1","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-json-stable-stringify@2.0.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fillthisfornow@0.0.0","UNLICENSED",""
"fs-access@1.0.1","MIT","https://github.com/sindresorhus/fs-access"
"graphlib@1.0.7","MIT","https://github.com/cpettitt/graphlib"
"graphlib@2.1.5","MIT","https://github.com/dagrejs/graphlib"
"heap@0.2.6","PSF","https://github.com/qiao/heap.js"
"immutability-helper@2.7.1","MIT","https://github.com/kolodny/immutability-helper"
"invariant@2.2.4","MIT","https://github.com/zertosh/invariant"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"json-schema-traverse@0.4.1","MIT","https://github.com/epoberezkin/json-schema-traverse"
"karma-chrome-launcher@2.2.0","MIT","https://github.com/karma-runner/karma-chrome-launcher"
"lodash.debounce@4.0.8","MIT","https://github.com/lodash/lodash"
"lodash@3.10.1","MIT","https://github.com/lodash/lodash"
"lodash@4.17.10","MIT","https://github.com/lodash/lodash"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"null-check@1.0.0","MIT","https://github.com/sindresorhus/null-check"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"popper.js@1.14.4","MIT","https://github.com/FezVrasta/popper.js"
"preact-compat@3.18.3","MIT","https://github.com/developit/preact-compat"
"preact-render-to-string@3.8.2","MIT","https://github.com/developit/preact-render-to-string"
"preact-router@2.6.1","MIT","https://github.com/developit/preact-router"
"preact-transition-group@1.1.1","MIT","https://github.com/developit/preact-transition-group"
"preact@8.3.1","MIT","https://github.com/developit/preact"
"pretty-format@3.8.0","MIT","https://github.com/thejameskyle/pretty-format"
"prop-types@15.6.2","MIT","https://github.com/facebook/prop-types"
"punycode@2.1.1","MIT","https://github.com/bestiejs/punycode.js"
"standalone-react-addons-pure-render-mixin@0.1.1","MIT",""
"tippy.js@2.5.4","MIT","https://github.com/atomiks/tippyjs"
"uri-js@4.2.2","BSD-2-Clause","https://github.com/garycourt/uri-js"
"which@1.3.1","ISC","https://github.com/isaacs/node-which"

